Role,Company,City,Grouped City,State,Month posted,No. of days ago,Level,Job type,Job function,Industry
Sales Data Insights Lead Analyst,Yahoo,Bengaluru,Bengaluru,Karnataka,November,14,Associate,Full-time,"Research, Analyst, and Information Technology","Marketing and Advertising, Computer Software, and Internet Publishing"
Senior Data Processing Analyst,NielsenIQ,Chennai,Chennai,Tamil Nadu,November,5,Mid-Senior level,Full-time,Other,"Marketing and Advertising, Manufacturing, and Retail"
IT Data Analyst,TactTree LLP,Vadodara,Vadodara,Gujarat,November,21,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Outsourcing and Offshoring Consulting, and Management Consulting"
Business Data Analyst,Kaplan,Bangalore Urban,Bengaluru,Karnataka,November,14,Mid-Senior level,Full-time,Information Technology and Analyst,"IT Services and IT Consulting, E-Learning Providers, and Education Administration Programs"
Ops Analyst - Data Processing,JPMorgan Chase & Co.,Bengaluru,Bengaluru,Karnataka,November,21,Not Applicable,Full-time,Management and Manufacturing,Financial Services
Business Value Data Analyst - Associate,Coupa Software,Pune,Pune,Maharashtra,November,14,Not Applicable,Full-time,Information Technology,Computer Software
Data Analyst-Global Audit & Assurance Learning- Deloitte Support Services India Private Limited,Deloitte,Hyderabad,Hyderabad,Telangana,November,28,Entry level,Full-time,Information Technology,"Financial Services, Management Consulting, and Accounting"
Audit support Data Analyst,Bosch Engineering and Business Solutions,Bengaluru,Bengaluru,Karnataka,October,31,Associate,Full-time,Accounting/Auditing and Finance,"IT Services and IT Consulting, Computer Software, and Motor Vehicle Manufacturing"
Business/Data Systems Analyst 3,PayPal,Chennai,Chennai,Tamil Nadu,November,4,Not Applicable,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Procurement Data Analyst,Moody's Corporation,Gurgaon,Gurgaon,Haryana,November,2,Not Applicable,Full-time,Information Technology,Financial Services
Data Analyst,Cross-Tab Marketing Services Pvt. Ltd,Mumbai,Mumbai,Maharashtra,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Management Consulting"
"Analyst, Data Streams Support",Hudson's Bay Company India,Bengaluru,Bengaluru,Karnataka,August,93,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst (m/w/d),joblocal GmbH,Nichar,Nichar,Himachal Pradesh,November,14,Entry level,Full-time,Information Technology,Human Resources
Senior - Data Analyst,Newton School,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Internet Publishing, and Staffing and Recruiting"
Data Engineer,VERDIS,Delhi,Delhi,Delhi,November,1,Full-time,Not mentioned,Not mentioned,Not mentioned
Business/Data Systems Analyst 3-8,PayPal,Bengaluru,Bengaluru,Karnataka,November,21,Not Applicable,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Clinical Data Analyst,Continental Hospitals,Hyderabad,Hyderabad,Telangana,November,28,Associate,Full-time,Information Technology,"Medical Equipment, Medical Practices, and Hospitals and Health Care"
Data Remediation Analyst,First American (India),Bangalore Urban,Bengaluru,Karnataka,November,14,Mid-Senior level,Full-time,Information Technology,Insurance
Data Quality Analyst,Condé Nast Data (India),Chennai,Chennai,Tamil Nadu,November,28,Associate,Full-time,Information Technology,Online Media and Publishing
Investment Data Analyst,M&G Global Services Private Limited,Mumbai,Mumbai,Maharashtra,November,14,Not Applicable,Full-time,"Analyst, Information Technology, and Engineering",Financial Services and Investment Management
Data Analyst - Manufacturing - AWM,Smith+Nephew,Pune,Pune,Maharashtra,November,14,Entry level,Full-time,Information Technology,Medical Equipment
Data Engineer,CleverInsight,Coonoor,Coonoor,Tamil Nadu,November,3,Full-time,Not mentioned,Not mentioned,Not mentioned
Engineer - Data Analyst,Vestas,Chennai,Chennai,Tamil Nadu,November,5,Not Applicable,Full-time,Information Technology,Renewable Energy Semiconductor Manufacturing
Sr. Data Analyst,AdZync,Mumbai,Mumbai,Maharashtra,November,28,Associate,Full-time,Information Technology,Apparel and Fashion
Data Analyst,Diverse Lynx,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Contract,Information Technology,IT Services and IT Consulting
Sr. Data Analyst (US-Shift),Adit,Ahmedabad,Ahmedabad,Gujarat,November,14,Mid-Senior level,Full-time,Information Technology and Analyst,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Access & Use Management Analyst I,JPMorgan Chase & Co.,Bengaluru,Bengaluru,Karnataka,November,1,Not Applicable,Full-time,Information Technology,Financial Services
Data Analyst (Vice President),Morgan Stanley,Mumbai,Mumbai,Maharashtra,Not mentioned,0,Not Applicable,Full-time,Analyst,"Financial Services, Investment Banking, and Investment Management"
Analyst - Referential Data,Societe Generale Global Solution Centre,Bengaluru,Bengaluru,Karnataka,November,2,Not Applicable,Full-time,Information Technology,"Non-profit Organizations, Staffing and Recruiting, and Banking"
Executive/AM - Data Quality Analyst,Macquarie Group,Gurgaon,Gurgaon,Haryana,November,28,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking"
